citric acid,total sulfur dioxide,free sulfur dioxide,residual sugar,chlorides,volatile acidity,quality
0.0,34.0,11.0,1.9,0.076,0.7,0.5
0.0,67.0,25.0,2.6,0.098,0.88,0.5
0.04,54.0,15.0,2.3,0.092,0.76,0.5
0.56,60.0,17.0,1.9,0.075,0.28,0.5
0.0,34.0,11.0,1.9,0.076,0.7,0.5
0.0,40.0,13.0,1.8,0.075,0.66,0.5
0.06,59.0,15.0,1.6,0.069,0.6,0.5
0.0,21.0,15.0,1.2,0.065,0.65,1.0
0.02,18.0,9.0,2.0,0.073,0.58,1.0
0.36,102.0,17.0,6.1,0.071,0.5,0.5
0.08,65.0,15.0,1.8,0.097,0.58,0.5
0.36,102.0,17.0,6.1,0.071,0.5,0.5
0.0,59.0,16.0,1.6,0.08900000000000001,0.615,0.5
0.29,29.0,9.0,1.6,0.114,0.61,0.5
0.18,145.0,52.0,3.8,0.17600000000000002,0.62,0.5
0.19,148.0,51.0,3.9,0.17,0.62,0.5
0.56,103.0,35.0,1.8,0.092,0.28,1.0
0.28,56.0,16.0,1.7,0.368,0.56,0.5
0.08,29.0,6.0,4.4,0.086,0.59,0.0
0.51,56.0,17.0,1.8,0.341,0.32,0.5
0.48,60.0,29.0,1.8,0.077,0.22,0.5
0.31,71.0,23.0,2.3,0.08199999999999999,0.39,0.5
0.21,37.0,10.0,1.6,0.106,0.43,0.5
0.11,67.0,9.0,2.3,0.084,0.49,0.5
0.14,40.0,21.0,2.4,0.085,0.4,0.5
0.16,23.0,11.0,1.4,0.08,0.39,0.5
0.24,11.0,4.0,1.8,0.08,0.41,0.5
0.21,37.0,10.0,1.6,0.106,0.43,0.5
0.0,35.0,14.0,1.9,0.08,0.71,0.5
0.0,16.0,8.0,2.0,0.08199999999999999,0.645,0.5
0.07,82.0,17.0,2.4,0.08900000000000001,0.675,0.5
0.0,37.0,22.0,2.5,0.105,0.685,0.5
0.12,113.0,15.0,2.3,0.083,0.655,0.5
0.12,83.0,40.0,10.7,0.073,0.605,0.5
0.25,50.0,13.0,1.8,0.103,0.32,0.5
0.0,18.0,5.0,5.5,0.086,0.645,0.5
0.14,15.0,3.0,2.4,0.086,0.6,0.5
0.28,30.0,13.0,2.1,0.066,0.38,1.0
0.09,19.0,7.0,1.5,0.172,1.13,0.0
0.36,87.0,12.0,5.9,0.07400000000000001,0.45,0.5
0.36,87.0,12.0,5.9,0.07400000000000001,0.45,0.5
0.3,46.0,17.0,2.8,0.08800000000000001,0.61,0.0
0.2,14.0,8.0,2.6,0.332,0.49,0.5
0.22,23.0,9.0,2.2,0.069,0.66,0.5
0.02,11.0,5.0,1.8,0.05,0.67,0.5
0.15,65.0,8.0,2.1,0.054000000000000006,0.52,0.0
0.43,114.0,22.0,2.2,0.114,0.935,0.5
0.52,37.0,12.0,1.6,0.113,0.29,0.5
0.23,12.0,5.0,1.6,0.066,0.4,0.5
0.37,96.0,12.0,1.4,0.07400000000000001,0.31,0.5
0.26,23.0,4.0,1.7,0.07400000000000001,0.66,0.5
0.04,15.0,8.0,2.2,0.069,0.52,0.5
0.04,14.0,6.0,2.1,0.068,0.5,0.5
0.36,119.0,30.0,3.0,0.081,0.38,0.5
0.15,73.0,33.0,2.8,0.11,0.51,0.5
0.04,45.0,25.0,3.8,0.084,0.62,0.5
0.57,10.0,4.0,3.4,0.07,0.42,0.5
0.12,110.0,50.0,5.1,0.111,0.63,0.5
0.18,54.0,17.0,2.3,0.076,0.59,0.5
0.31,46.0,9.0,2.4,0.07400000000000001,0.39,0.5
0.4,52.0,19.0,2.2,0.079,0.4,0.5
0.49,112.0,20.0,1.8,0.115,0.69,0.5
0.16,35.0,12.0,1.9,0.085,0.52,1.0
0.05,54.0,13.0,2.0,0.081,0.735,0.5
0.05,11.0,4.0,4.65,0.086,0.725,0.5
0.05,11.0,4.0,4.65,0.086,0.725,0.5
0.11,39.0,11.0,1.5,0.079,0.52,0.5
0.07,15.0,6.0,1.6,0.076,0.705,0.5
0.57,65.0,27.0,2.0,0.07400000000000001,0.32,0.5
0.05,19.0,8.0,1.9,0.07400000000000001,0.705,0.5
0.08,27.0,15.0,1.9,0.076,0.63,0.5
0.23,96.0,17.0,2.1,0.08800000000000001,0.67,0.5
0.22,94.0,18.0,1.9,0.084,0.69,0.5
0.26,43.0,11.0,2.1,0.084,0.675,0.0
0.54,83.0,28.0,2.5,0.094,0.32,0.5
0.64,42.0,9.0,2.2,0.093,0.41,0.5
